Latitude,Longitude,Time
39.961227,116.352516,2025-06-30 09:19:12+00:00
39.961709,116.352871,2025-06-30 09:19:42+00:00
39.963013,116.350851,2025-06-30 09:24:41+00:00
39.963213,116.35016,2025-06-30 09:29:13+00:00
39.963208,116.35012,2025-06-30 09:52:12+00:00
39.96297,116.3508,2025-06-30 10:24:53+00:00
39.963011,116.351658,2025-06-30 10:29:52+00:00
39.963253,116.352497,2025-06-30 10:30:22+00:00
39.963736,116.352276,2025-06-30 10:31:26+00:00
39.963293,116.352458,2025-06-30 10:33:16+00:00
39.962076,116.352448,2025-06-30 10:33:51+00:00
39.960972,116.352042,2025-06-30 10:34:27+00:00
39.960392,116.350804,2025-06-30 10:34:58+00:00
39.960358,116.350188,2025-06-30 10:35:32+00:00
39.961372,116.351123,2025-06-30 11:04:40+00:00
39.962441,116.351038,2025-06-30 11:05:10+00:00
39.962475,116.352234,2025-06-30 11:05:43+00:00
39.962473,116.352324,2025-06-30 11:12:27+00:00
39.962363,116.350987,2025-06-30 11:14:21+00:00
39.961026,116.350983,2025-06-30 11:14:52+00:00
39.96246,116.351603,2025-06-30 11:15:57+00:00
39.962535,116.3521,2025-06-30 11:18:01+00:00
39.962282,116.350975,2025-06-30 11:23:42+00:00
39.960352,116.350621,2025-06-30 11:24:14+00:00
39.960479,116.350115,2025-06-30 11:24:47+00:00
39.960372,116.349662,2025-06-30 11:52:23+00:00
39.960671,116.350098,2025-06-30 11:53:37+00:00
39.960414,116.350112,2025-06-30 12:32:27+00:00
39.95918,116.351059,2025-06-30 12:34:28+00:00
39.957844,116.351198,2025-06-30 12:35:01+00:00
39.956846,116.351771,2025-06-30 12:35:32+00:00
39.955767,116.351933,2025-06-30 12:36:41+00:00
39.95479,116.352129,2025-06-30 12:37:13+00:00
39.953032,116.352409,2025-06-30 12:37:47+00:00
39.951905,116.351829,2025-06-30 12:38:20+00:00
39.951698,116.351754,2025-06-30 12:38:56+00:00
39.951738,116.351308,2025-06-30 12:39:27+00:00
39.951417,116.351441,2025-06-30 12:44:19+00:00
39.951776,116.35137,2025-06-30 12:44:58+00:00
